host_since,neighbourhood,city,accommodates,price
16/03/2016,Popincourt,Paris,2,90
16/09/2015,Temple,Paris,2,77
21/01/2013,Buttes-Montmartre,Paris,2,100
04/12/2015,Vaugirard,Paris,2,50
29/06/2015,Batignolles-Monceau,Paris,2,66
27/09/2015,Buttes-Montmartre,Paris,2,80
02/05/2014,Popincourt,Paris,2,51
10/05/2012,Popincourt,Paris,2,65
03/03/2019,Popincourt,Paris,2,90
10/06/2016,Popincourt,Paris,2,70
16/03/2019,Gobelins,Paris,2,120
28/04/2012,Menilmontant,Paris,2,80
27/10/2015,Gobelins,Paris,2,80
05/01/2014,Buttes-Chaumont,Paris,2,50
01/07/2013,Buttes-Chaumont,Paris,2,100
13/06/2014,Buttes-Chaumont,Paris,2,130
22/03/2013,Palais-Bourbon,Paris,2,109
10/10/2013,Hotel-de-Ville,Paris,2,120
06/06/2014,Vaugirard,Paris,2,56
15/09/2014,Menilmontant,Paris,2,68
19/09/2015,Passy,Paris,2,90
30/05/2014,Elysee,Paris,2,100
24/11/2013,Enclos-St-Laurent,Paris,2,73
28/09/2015,Passy,Paris,2,117
25/04/2014,Gobelins,Paris,2,59
04/09/2013,Buttes-Montmartre,Paris,2,79
26/09/2015,Enclos-St-Laurent,Paris,2,70
21/07/2016,Menilmontant,Paris,2,70
17/06/2013,Buttes-Chaumont,Paris,2,55
24/02/2015,Buttes-Montmartre,Paris,2,75
29/12/2017,Elysee,Paris,2,85
28/06/2011,Buttes-Chaumont,Paris,2,60
30/06/2013,Palais-Bourbon,Paris,2,110
01/07/2013,Gobelins,Paris,2,68
23/03/2013,Louvre,Paris,2,110
26/07/2014,Opera,Paris,2,85
04/01/2015,Vaugirard,Paris,2,79
17/12/2012,Louvre,Paris,2,49
04/02/2015,Gobelins,Paris,2,55
28/06/2015,Vaugirard,Paris,2,80
06/07/2015,Popincourt,Paris,2,60
15/07/2015,Popincourt,Paris,2,45
27/01/2014,Reuilly,Paris,2,60
23/11/2015,Popincourt,Paris,2,59
11/03/2014,Vaugirard,Paris,2,121
14/09/2015,Buttes-Chaumont,Paris,2,55
29/10/2012,Buttes-Montmartre,Paris,2,60
03/08/2016,Menilmontant,Paris,2,65
18/04/2013,Palais-Bourbon,Paris,2,37
04/11/2015,Enclos-St-Laurent,Paris,2,150
13/01/2015,Popincourt,Paris,2,70
02/02/2015,Hotel-de-Ville,Paris,2,105
29/07/2016,Batignolles-Monceau,Paris,2,80
22/06/2013,Buttes-Chaumont,Paris,2,60
16/10/2016,Bourse,Paris,2,100
27/05/2015,Buttes-Montmartre,Paris,2,100
22/05/2016,Passy,Paris,2,115
22/01/2016,Buttes-Chaumont,Paris,2,59
14/02/2018,Buttes-Montmartre,Paris,2,90
25/08/2016,Buttes-Montmartre,Paris,2,55
04/07/2013,Popincourt,Paris,2,70
22/08/2013,Hotel-de-Ville,Paris,2,150
28/08/2014,Popincourt,Paris,2,55
31/03/2015,Reuilly,Paris,2,80
17/05/2015,Temple,Paris,2,103
22/01/2015,Buttes-Montmartre,Paris,2,61
28/06/2016,Batignolles-Monceau,Paris,2,90
14/11/2014,Reuilly,Paris,2,90
24/03/2013,Menilmontant,Paris,2,85
12/02/2014,Hotel-de-Ville,Paris,2,120
01/05/2018,Temple,Paris,2,140
30/12/2012,Observatoire,Paris,2,115
13/02/2013,Buttes-Montmartre,Paris,2,70
26/01/2016,Batignolles-Monceau,Paris,2,70
29/03/2015,Buttes-Montmartre,Paris,2,75
31/07/2017,Buttes-Chaumont,Paris,2,75
17/10/2014,Opera,Paris,2,122
28/06/2015,Temple,Paris,2,100
31/01/2019,Popincourt,Paris,2,140
15/02/2017,Buttes-Montmartre,Paris,2,65
01/04/2019,Passy,Paris,2,140
12/12/2013,Batignolles-Monceau,Paris,2,150
05/04/2014,Batignolles-Monceau,Paris,2,100
24/08/2015,Popincourt,Paris,2,110
16/08/2014,Louvre,Paris,2,153
14/05/2014,Enclos-St-Laurent,Paris,2,90
15/03/2015,Temple,Paris,2,100
26/09/2016,Buttes-Montmartre,Paris,2,46
30/04/2015,Vaugirard,Paris,2,40
23/04/2018,Bourse,Paris,2,60
07/10/2015,Pantheon,Paris,2,80
07/08/2013,Menilmontant,Paris,2,80
28/02/2013,Buttes-Montmartre,Paris,2,100
06/07/2014,Popincourt,Paris,2,90
19/11/2012,Louvre,Paris,2,120
01/08/2012,Enclos-St-Laurent,Paris,2,90
12/11/2014,Popincourt,Paris,2,55
17/07/2013,Popincourt,Paris,2,85
02/03/2014,Opera,Paris,2,53
04/12/2013,Temple,Paris,2,220
05/09/2013,Buttes-Montmartre,Paris,2,119
08/06/2020,Popincourt,Paris,2,90
22/01/2013,Luxembourg,Paris,2,90
10/04/2015,Passy,Paris,2,75
25/03/2011,Gobelins,Paris,2,69
29/04/2015,Observatoire,Paris,2,99
14/05/2013,Luxembourg,Paris,2,159
11/11/2014,Buttes-Montmartre,Paris,2,80
27/03/2014,Observatoire,Paris,2,60
03/08/2014,Buttes-Montmartre,Paris,2,50
21/07/2015,Reuilly,Paris,2,65
05/08/2014,Enclos-St-Laurent,Paris,2,45
01/03/2012,Popincourt,Paris,2,115
22/06/2014,Pantheon,Paris,2,60
05/08/2015,Enclos-St-Laurent,Paris,2,41
25/09/2013,Enclos-St-Laurent,Paris,2,125
18/09/2012,Buttes-Montmartre,Paris,2,100
17/09/2015,Enclos-St-Laurent,Paris,2,73
30/07/2015,Vaugirard,Paris,2,69
15/03/2016,Vaugirard,Paris,2,115
21/10/2014,Luxembourg,Paris,2,90
08/04/2013,Reuilly,Paris,2,57
21/07/2015,Vaugirard,Paris,2,60
08/04/2016,Menilmontant,Paris,2,48
31/01/2014,Pantheon,Paris,2,75
17/05/2015,Vaugirard,Paris,2,90
09/05/2016,Passy,Paris,2,80
31/05/2016,Menilmontant,Paris,2,50
07/08/2013,Reuilly,Paris,2,80
06/05/2015,Popincourt,Paris,2,80
28/07/2014,Buttes-Montmartre,Paris,2,110
30/10/2013,Popincourt,Paris,2,65
24/07/2015,Buttes-Montmartre,Paris,2,85
01/03/2015,Pantheon,Paris,2,90
14/06/2016,Luxembourg,Paris,2,102
04/10/2016,Buttes-Montmartre,Paris,2,44
20/03/2014,Observatoire,Paris,2,88
02/10/2016,Palais-Bourbon,Paris,2,40
